"X","Water.Temp.NRWQN","Turbidity..Form.Neph..NRWQN","Dis.Oxygen.Sat.NRWQN","pH.25DegC.NRWQN","NO3.NO2.as.N.NRWQN","P..Tot..NRWQN","Tot.Coliforms.NRWQN","E.Coli.NRWQN","Location"
"Timestamp (UTC+12:00)","Value (°C)","Value (FNU)","Value (%)","Value (pH)","Value (ppb)","Value (ppb)","Value (MPN/100ml)","Value (MPN/100ml)","AK1"
"2019-01-08 09:20:00","22.600000000000023","7.1","88.8","7.3","129","47","1986","119","AK1"
"2019-02-04 09:05:00","22.69999999999999","2.8","90.8","7.8","1","29","2359","63","AK1"
"2019-03-05 09:15:00","19.69999999999999","3.5","88.4","7.7","1","33","1723","175","AK1"
"2019-04-11 09:40:00","14.899999999999977","5.4","87.4","9.4","170","41","2419","60","AK1"
"2019-05-07 09:20:00","12.899999999999977","3.2","91.8","7.6","10","31","613","114","AK1"
"2019-06-05 09:50:00","11.600000000000023","3.6","94.3","7.7","244","45","1414","55","AK1"
"2019-07-08 09:00:00","10.399999999999977","14.2","91.4","7.4","1172","57","2419","687","AK1"
"2019-08-01 09:10:00","11.5","9.3","92","7.3","412","47","1986","191","AK1"
"2019-09-04 09:25:00","13.699999999999989","123","84.7","7.1","254","262","24192","19863","AK1"
"2019-10-03 08:45:00","13.199999999999989","8.9","92.7","7.6","306","56","2419","1733","AK1"
"2019-11-06 09:00:00","17.899999999999977","4.5","91.3","7.9","131","40","1553","111","AK1"
"2019-12-04 08:50:00","20.80000000000001","3.6","90.7","7.8","1","41","2419","173","AK1"
"2020-01-09 09:40:00","18.899999999999977","3.9","95.9","8.1","1","45","2419","41","AK1"
"2020-02-04 09:00:00","24.19999999999999","1.8","81.4","7.9","1","37","2419","75","AK1"
"2020-03-04 09:20:00","21.899999999999977","2.4","69.8","7.5","1","34","2419","1414","AK1"
"2020-05-13 09:50:00","14.199999999999989","1.1","84.3","7.8","14","28","980","613","AK1"
"2020-06-09 10:05:00","11.899999999999977","5","90.5","7.1","1138","38","2419","118","AK1"
"2020-07-07 09:35:00","11.699999999999989","19.6","89.6","7.3","820","59","2419","1046","AK1"
"2020-08-04 09:45:00","12.5","7.9","93.1","7.3","414","43","2419","206","AK1"
"2020-09-01 09:30:00","12.5","7","93.9","7.6","448","34","1986","96","AK1"
