"Date","Location","Variable","Value"
2019-01-08 09:20:00,"AK1","Water.Temp (°C)","22.600000000000023"
2019-01-08 09:20:00,"AK1","Turbidity..Form.Neph. (FNU)","7.1"
2019-01-08 09:20:00,"AK1","Dis.Oxygen.Sat (%)","88.8"
2019-01-08 09:20:00,"AK1","pH.25DegC (pH)","7.3"
2019-01-08 09:20:00,"AK1","NO3.NO2.as.N (ppb)","129"
2019-01-08 09:20:00,"AK1","P..Tot. (ppb)","47"
2019-01-08 09:20:00,"AK1","Tot.Coliforms (MPN/100ml)","1986"
2019-01-08 09:20:00,"AK1","E.Coli (MPN/100ml)","119"
2019-02-04 09:05:00,"AK1","Water.Temp (°C)","22.69999999999999"
2019-02-04 09:05:00,"AK1","Turbidity..Form.Neph. (FNU)","2.8"
2019-02-04 09:05:00,"AK1","Dis.Oxygen.Sat (%)","90.8"
2019-02-04 09:05:00,"AK1","pH.25DegC (pH)","7.8"
2019-02-04 09:05:00,"AK1","NO3.NO2.as.N (ppb)","1"
2019-02-04 09:05:00,"AK1","P..Tot. (ppb)","29"
2019-02-04 09:05:00,"AK1","Tot.Coliforms (MPN/100ml)","2359"
2019-02-04 09:05:00,"AK1","E.Coli (MPN/100ml)","63"
2019-03-05 09:15:00,"AK1","Water.Temp (°C)","19.69999999999999"
2019-03-05 09:15:00,"AK1","Turbidity..Form.Neph. (FNU)","3.5"
2019-03-05 09:15:00,"AK1","Dis.Oxygen.Sat (%)","88.4"
2019-03-05 09:15:00,"AK1","pH.25DegC (pH)","7.7"
2019-03-05 09:15:00,"AK1","NO3.NO2.as.N (ppb)","1"
2019-03-05 09:15:00,"AK1","P..Tot. (ppb)","33"
2019-03-05 09:15:00,"AK1","Tot.Coliforms (MPN/100ml)","1723"
2019-03-05 09:15:00,"AK1","E.Coli (MPN/100ml)","175"
2019-04-11 09:40:00,"AK1","Water.Temp (°C)","14.899999999999977"
2019-04-11 09:40:00,"AK1","Turbidity..Form.Neph. (FNU)","5.4"
2019-04-11 09:40:00,"AK1","Dis.Oxygen.Sat (%)","87.4"
2019-04-11 09:40:00,"AK1","pH.25DegC (pH)","9.4"
2019-04-11 09:40:00,"AK1","NO3.NO2.as.N (ppb)","170"
2019-04-11 09:40:00,"AK1","P..Tot. (ppb)","41"
2019-04-11 09:40:00,"AK1","Tot.Coliforms (MPN/100ml)","2419"
2019-04-11 09:40:00,"AK1","E.Coli (MPN/100ml)","60"
2019-05-07 09:20:00,"AK1","Water.Temp (°C)","12.899999999999977"
2019-05-07 09:20:00,"AK1","Turbidity..Form.Neph. (FNU)","3.2"
2019-05-07 09:20:00,"AK1","Dis.Oxygen.Sat (%)","91.8"
2019-05-07 09:20:00,"AK1","pH.25DegC (pH)","7.6"
2019-05-07 09:20:00,"AK1","NO3.NO2.as.N (ppb)","10"
2019-05-07 09:20:00,"AK1","P..Tot. (ppb)","31"
2019-05-07 09:20:00,"AK1","Tot.Coliforms (MPN/100ml)","613"
2019-05-07 09:20:00,"AK1","E.Coli (MPN/100ml)","114"
2019-06-05 09:50:00,"AK1","Water.Temp (°C)","11.600000000000023"
2019-06-05 09:50:00,"AK1","Turbidity..Form.Neph. (FNU)","3.6"
