#Bulk Export - Points as recorded,,,,,,,,
,GS3,GS3,GS3,GS3,GS3,GS3,GS3,GS3
,Motu at Waitangirua (NRWQN),Motu at Waitangirua (NRWQN),Motu at Waitangirua (NRWQN),Motu at Waitangirua (NRWQN),Motu at Waitangirua (NRWQN),Motu at Waitangirua (NRWQN),Motu at Waitangirua (NRWQN),Motu at Waitangirua (NRWQN)
,Water Temp.NRWQN,Turbidity (Form Neph).NRWQN,Dis Oxygen Sat.NRWQN,pH.25DegC.NRWQN,NO3+NO2 as N.NRWQN,P (Tot).NRWQN,Tot Coliforms.NRWQN,E Coli.NRWQN
Timestamp (UTC+12:00),Value (°C),Value (FNU),Value (%),Value (pH),Value (ppb),Value (ppb),Value (MPN/100ml),Value (MPN/100ml)
2019-01-22 10:25:00,19.80000000000001,1.5,101.29999999999998,7.9,12,28,2419,115
2019-02-19 10:10:00,21.30000000000001,1.3,95.6,7.8,4,32,2419,38
2019-03-19 11:05:00,17.899999999999977,1.4,108.80000000000001,8.1,23,35,1553,133
2019-04-30 11:15:00,11.699999999999989,3.7,101.4,7.6,200,28,1986,517
2019-05-21 11:31:00,8.899999999999977,1.7,102.29999999999998,8,212,17,2419,93
2019-06-18 11:23:00,7.899999999999977,1.8,102.6,7.8,258,19,2419,248
2019-07-23 11:20:00,9.199999999999989,8.1,100.2,7.7,441,21,2419,117
2019-08-20 11:04:00,7.699999999999989,4.4,100.50000000000001,7.6,376,24,1300,93
2019-09-17 11:30:00,11.300000000000011,1.9,101.50000000000001,8.1,248,25,921,155
2019-10-22 10:10:00,12.300000000000011,6.4,100.50000000000001,7.9,324,38,2419,25
2019-11-19 10:26:00,14,3.3,105.8,8,155,33,2419,2419
2019-12-17 10:55:00,17.600000000000023,3.4,103.2,8,133,33,2419,1733
2020-01-21 10:15:00,17.399999999999977,1.6,100.50000000000001,7.7,3,27,1986,194
2020-02-18 10:20:00,20.399999999999977,1.4,99.7,7.9,1,28,2419,71
2020-05-19 11:24:00,10.699999999999989,1.7,104.1,8,135,23,1046,172
2020-06-23 12:05:00,10.899999999999977,39.9,100.09999999999998,7.4,665,64,2419,205
2020-07-22 11:11:00,9.899999999999977,30.8,100.6,7.6,543,52,2419,192
2020-08-18 10:55:00,7.199999999999989,2.1,101.8,7.8,365,19,816,96
2020-09-22 10:52:00,12.600000000000023,1.4,120.5,8.7,97,18,1300,50
2020-10-20 10:38:00,,2.1,102,7.7,190,26,2419,816
2020-11-17 10:30:00,18.399999999999977,3.5,102.49999999999999,7.9,221,29,2419,488
2020-12-15 11:11:00,18,1.4,108.4,8.7,95,27,1203,35
2021-01-19 10:13:00,19,1.3,97.4,7.9,5,25,2419,101
2021-02-23 10:28:00,19.899999999999977,1.2,101,8.1,5,26,1733,61
2021-03-23 11:25:00,13.899999999999977,0.74,100.7,7.9,1,27,1986,119
2021-04-19 12:03:00,13,0.68,104.49999999999999,8.1,2,27,1986,80
2021-05-18 11:25:00,11.699999999999989,5,100.2,7.7,252,59,2419,1986
2021-06-22 11:33:00,10.899999999999977,33.9,101.6,7.4,441,85,2419,1986
2021-07-20 10:53:00,9.5,40.9,101.50000000000001,7.3,747,84,2419,299
2021-09-21 11:10:00,10.399999999999977,11.9,100.8,7.9,489,50,2419,201
2021-10-19 10:11:00,12.100000000000023,38.2,101,7.4,352,106,2419,2419
2021-11-23 10:21:00,15.800000000000011,3.8,103.6,8,208,32,2419,687
2021-12-14 10:08:00,18.100000000000023,2.7,101.2,7.7,88,36,2419,1046
2022-01-25 11:00:00,19.899999999999977,2.7,96,7.7,97,44,2419,2419
2022-02-22 10:27:00,18.399999999999977,9.2,102.8,7.7,166,57,2419,2419
2022-03-22 10:06:00,16.100000000000023,8.6,99.3,7.6,54,50,2419,2419
2022-04-19 11:35:00,13.5,2.3,103.29999999999998,8,220,23,1733,285
2022-05-24 12:21:00,10.100000000000023,2.8,102.29999999999998,7.8,335,25,2419,411
2022-07-19 11:33:00,9.600000000000023,17.1,99.4,7.7,612,58,1120,161
2022-08-23 12:15:00,11.699999999999989,5.6,103.4,7.7,409,42,1733,126
2022-09-20 11:17:00,11.800000000000011,12.2,100.8,7.7,297,41,2419,629
2022-10-18 12:00:00,,2.4,,7.8,323,34,2419,228
2022-11-22 11:16:00,14.199999999999989,14.8,101.8,7.7,319,39,1986,980
2022-12-14 12:30:00,19.100000000000023,3,107.90000000000002,8,120,23,15531,4884
2023-01-24 11:23:00,17.899999999999977,3.3,102.6,9.8,177,25,5172,246
2023-02-21 11:02:00,17.80000000000001,11.5,99.6,7.8,335,34,2419,517
2023-05-23 10:55:00,11.5,10.3,100.09999999999998,7.8,357,36,2419,308
2023-07-18 12:00:00,8.800000000000011,4,100.2,7.8,373,34,649,68
2023-08-22 11:55:00,8.800000000000011,7,99.3,7.4,292,29,1414,222
2023-09-19 11:04:00,11.300000000000011,2.5,102.6,7.9,141,45,687,126
2023-11-21 10:29:00,15.100000000000023,51.4,100.09999999999998,8,117,82,2419,2419
2023-12-13 11:18:00,16.399999999999977,3.2,106.1,8,40,20,1203,126
2023-12-20 12:00:00,,8.4,,7.8,250,30,2419,727
