#Bulk Export - Points as recorded,,,,,,,,
,HM2,HM2,HM2,HM2,HM2,HM2,HM2,HM2
,Waipa at Whatawhata (NRWQN),Waipa at Whatawhata (NRWQN),Waipa at Whatawhata (NRWQN),Waipa at Whatawhata (NRWQN),Waipa at Whatawhata (NRWQN),Waipa at Whatawhata (NRWQN),Waipa at Whatawhata (NRWQN),Waipa at Whatawhata (NRWQN)
,Water Temp.NRWQN,Turbidity (Form Neph).NRWQN,Dis Oxygen Sat.NRWQN,pH.25DegC.NRWQN,NO3+NO2 as N.NRWQN,P (Tot).NRWQN,Tot Coliforms.NRWQN,E Coli.NRWQN
Timestamp (UTC+12:00),Value (°C),Value (FNU),Value (%),Value (pH),Value (ppb),Value (ppb),Value (MPN/100ml),Value (MPN/100ml)
2019-01-17 13:00:00,20.399999999999977,20.2,91.4,7.4,496,69,2419,308
2019-02-21 12:30:00,22.399999999999977,9.9,97.6,7.6,281,53,1733,140
2019-03-21 12:58:00,22.69999999999999,6.2,92.7,7.6,440,62,2419,225
2019-04-17 13:30:00,14.199999999999989,8.4,93.1,7.4,434,46,2419,219
2019-05-23 14:15:00,13,,92.3,7.4,466,,2419,1203
2019-06-20 14:40:00,8.5,12.4,93.6,7.4,724,55,2419,159
2019-07-24 13:30:00,10.600000000000023,9.8,92,7.1,1230,62,2419,162
2019-08-22 12:55:00,12,28.3,91.2,7.1,1300,83,2419,1203
2019-09-19 11:20:00,13.5,11.4,92.5,7.8,1028,70,2419,365
2019-10-17 13:15:00,14.199999999999989,20.5,92,7.5,770,69,2419,921
2019-11-20 11:50:00,16.30000000000001,8.3,91.3,7.6,522,61,2419,1986
2019-12-18 11:45:00,18.5,35.3,83.2,7.2,541,173,2419,2419
2020-01-23 12:10:00,21.600000000000023,6.1,95.1,7.7,117,40,2419,99
2020-02-20 13:30:00,22.899999999999977,7.7,92.1,7.5,202,49,2419,53
2020-03-19 11:55:00,17.69999999999999,8.6,91,7.7,304,44,2419,345
2020-05-20 14:00:00,10.800000000000011,3.4,93.2,7.5,432,34,1986,185
2020-06-18 13:05:00,11.300000000000011,5.6,93.3,7.4,568,41,2419,292
2020-07-23 13:30:00,11.600000000000023,25,89.1,7.1,1215,89,2419,1986
2020-08-20 12:15:00,11.399999999999977,19.3,93.4,7.3,872,62,2419,461
2020-09-17 13:35:00,13.899999999999977,12.4,93.4,7.4,756,58,2419,387
2020-10-22 13:15:00,15,26.3,90.4,7.3,554,75,2419,1986
2020-11-19 13:40:00,17.899999999999977,14,91,7.3,539,72,2419,326
2020-12-17 13:10:00,19.5,14.2,92,7.4,475,56,2419,236
2021-01-28 13:54:00,23.600000000000023,6.7,95.9,7.7,194,40,2419,172
2021-02-18 13:47:00,21.19999999999999,6.2,93,7.6,286,45,1733,76
2021-03-18 15:35:00,20.30000000000001,6.2,89.8,7.4,375,51,1733,59
2021-04-22 13:35:00,15.199999999999989,9.2,91.2,7.5,343,52,2419,178
2021-05-20 15:15:00,13,7.3,87.8,7.3,732,66,2419,1553
2021-06-24 13:20:00,10.199999999999989,11,88.4,7.2,1601,47,2419,326
2021-07-21 14:15:00,11.399999999999977,20.8,85.9,7.1,1562,73,2419,687
2021-09-27 12:00:00,13.699999999999989,20.3,82,6.9,1388,77,2419,1553
2021-10-21 11:10:00,15.399999999999977,18.9,89.2,7.2,814,89,1553,488
2021-12-16 12:50:00,19.19999999999999,25.9,83.3,7.1,613,148,2419,1203
2022-01-20 13:10:00,22.899999999999977,6.5,98.7,7.8,138,32,2419,146
2022-02-17 12:30:00,19.899999999999977,19.2,80.6,7.2,739,84,2419,387
2022-03-17 12:00:00,20,2.3,103.2,7.7,221,36,2419,120
2022-04-21 14:40:00,17.69999999999999,14,98.3,7.8,454,62,1986,345
2022-05-19 14:40:00,15.699999999999989,27.4,87.8,7.4,568,97,2419,921
2022-06-21 13:51:00,11.5,15.3,80.4,7,1698,75,2419,548
2022-07-26 14:05:00,12,34.4,92.5,7.3,1310,135,2419,548
2022-08-18 14:08:00,13.399999999999977,19.7,92.3,7.4,1220,84,2419,1046
2022-09-22 11:40:00,14.600000000000023,,88.3,,1071,107,7701,3255
2022-10-20 13:05:00,15.5,7.5,87.6,7.1,1101,53,1986,326
2022-11-10 13:05:00,18.19999999999999,16.5,87.6,7.3,797,69,2419,435
2022-12-15 13:08:00,17.5,31.1,87.8,7.2,731,179,2419,2419
2023-01-19 12:45:00,21,36.9,88.1,7.3,671,108,2419,517
2023-02-16 10:55:00,18.5,41,76.1,7,903,129,2419,1120
2023-03-16 13:05:00,17.30000000000001,7.3,91,7.4,671,93,2419,687
2023-05-18 14:48:00,11.600000000000023,22,92.4,7.2,1050,104,2419,416
2023-07-26 13:47:00,10.600000000000023,15.6,95.8,7.3,1160,78,2419,214
2023-08-15 13:05:00,12.100000000000023,40.2,91.9,7.5,921,80,2419,961
2023-09-14 11:50:00,13.199999999999989,20.3,92.9,7.5,830,78,2419,770
2023-10-18 10:10:00,16.19999999999999,27.2,91.2,7.4,937,100,2419,548
2023-11-16 10:57:00,17.600000000000023,13.8,91.8,7.6,618,50,1414,150
2023-12-13 12:20:00,18.600000000000023,13.6,93,7.5,486,63,2419,194
