#Bulk Export - Points as recorded,,,,,,,,
,RO6,RO6,RO6,RO6,RO6,RO6,RO6,RO6
,Waikato at Reids Farm (NRWQN),Waikato at Reids Farm (NRWQN),Waikato at Reids Farm (NRWQN),Waikato at Reids Farm (NRWQN),Waikato at Reids Farm (NRWQN),Waikato at Reids Farm (NRWQN),Waikato at Reids Farm (NRWQN),Waikato at Reids Farm (NRWQN)
,Water Temp.NRWQN,Turbidity (Form Neph).NRWQN,Dis Oxygen Sat.NRWQN,pH.25DegC.NRWQN,NO3+NO2 as N.NRWQN,P (Tot).NRWQN,Tot Coliforms.NRWQN,E Coli.NRWQN
Timestamp (UTC+12:00),Value (°C),Value (FNU),Value (%),Value (pH),Value (ppb),Value (ppb),Value (MPN/100ml),Value (MPN/100ml)
2019-01-15 11:10:00,19.80000000000001,0.41,103.2,8.1,2,6,1553,26
2019-02-12 10:47:00,21.5,0.5,105.90000000000002,8.3,1,4,150,1
2019-03-12 10:42:00,20.5,0.22,104.4,8.2,1,4,436,13
2019-04-16 11:01:00,18,0.38,101.8,8.1,1,4,110,1
2019-05-14 11:57:00,15.899999999999977,0.45,101.4,8.1,1,4,71,7
2019-06-10 12:24:00,13.600000000000023,0.69,101.4,8,1,4,29,1
2019-07-16 10:50:00,11.800000000000011,0.36,99.8,7.9,1,5,133,4
2019-08-13 11:34:00,11.100000000000023,1.2,101.1,7.8,2,6,131,1
2019-09-10 11:43:00,11.199999999999989,0.4,99.4,7.8,2,6,387,1
2019-10-14 11:58:00,13.5,0.25,100.39999999999999,7.9,1,5,261,2
2019-11-12 11:20:00,15.199999999999989,0.42,107.2,,,4,548,16
2019-12-10 11:26:00,18.899999999999977,0.54,104.90000000000002,8.2,1,5,1300,24
2020-01-14 11:47:00,19,0.45,104.49999999999999,8,1,6,613,12
2020-02-11 11:10:00,21.399999999999977,0.23,105.3,8.2,1,4,199,5
2020-03-17 11:15:00,18.80000000000001,0.34,104.90000000000002,8.2,1,4,260,6
2020-05-18 12:05:00,15.199999999999989,0.23,101.50000000000001,8.2,2,4,32,1
2020-06-16 12:00:00,13.300000000000011,0.26,99.9,8,1,4,31,1
2020-07-14 12:05:00,11.899999999999977,1,100.8,7.7,1,5,27,3
2020-08-11 11:22:00,11.399999999999977,0.56,98.8,7.6,3,6,10,1
2020-09-14 11:22:00,11.699999999999989,1.3,104,7.8,1,11,25,2
2020-10-13 11:57:00,11.600000000000023,0.42,99,7.7,2,8,186,12
2020-11-10 11:15:00,14.100000000000023,0.35,105.90000000000002,7.9,1,5,,
2020-12-07 11:02:00,16.30000000000001,0.29,103.8,8.1,7,5,173,15
2021-01-12 10:35:00,20.80000000000001,0.29,106.2,8.2,1,3,411,16
2021-02-16 11:23:00,19.5,0.88,106.2,8.2,3,5,866,17
2021-03-16 11:15:00,19.100000000000023,0.28,104.2,8.2,5,6,548,7
2021-04-13 11:05:00,18.19999999999999,0.32,107,8.3,2,4,361,5
2021-05-10 12:22:00,16.100000000000023,0.29,101.8,8.3,1,4,1120,10
2021-06-15 12:05:00,13.5,0.63,100.39999999999999,7.9,2,5,73,10
2021-07-13 11:20:00,11.699999999999989,0.41,99.7,7.9,1,5,192,1
2021-09-14 10:50:00,11.300000000000011,0.21,101.6,7.8,1,6,770,5
2021-10-12 10:54:00,13,0.38,108.2,8,2,8,649,26
2021-11-16 11:03:00,17.19999999999999,0.23,107.60000000000001,8.1,2,7,548,12
2021-12-07 10:35:00,17,0.37,106.49999999999999,8.2,1,3,260,36
2022-01-18 12:43:00,20.80000000000001,0.29,107.80000000000001,8.2,1,4,866,6
2022-02-15 11:43:00,21.100000000000023,0.29,106.60000000000001,8.3,1,3,150,3
2022-03-15 10:32:00,20.399999999999977,0.32,103.2,8.3,1,4,1986,36
2022-04-12 10:50:00,18.600000000000023,0.2,103.4,8.2,1,5,326,16
2022-05-17 11:08:00,16.19999999999999,0.4,100.39999999999999,8.1,1,4,108,3
2022-06-14 11:08:00,13.199999999999989,0.5,101.6,8.1,4,6,86,13
2022-07-12 10:50:00,12.199999999999989,0.4,99.9,7.8,3,10,308,9
2022-08-16 11:43:00,11.600000000000023,0.3,98.5,7.9,2,7,210,3
2022-09-13 11:48:00,11.899999999999977,0.4,101.29999999999998,7.9,1,7,866,1
2022-10-11 12:37:00,12.600000000000023,0.2,101.9,7.8,1,4,2419,7
2022-11-15 12:05:00,15.600000000000023,1.1,104.90000000000002,8,5,6,249,6
2022-12-06 12:15:00,17.19999999999999,0.7,106.4,8.2,1,6,,
2023-01-17 11:56:00,19.19999999999999,2.2,104.3,8.1,1,7,1203,62
2023-02-14 10:50:00,17.600000000000023,2.3,102.9,7.9,5,7,172,6
2023-03-14 11:03:00,19.100000000000023,0.5,102.70000000000002,8.2,2,4,365,10
2023-05-16 10:58:00,15.399999999999977,0.28,98.8,7.9,1,5,62,1
2023-07-17 11:32:00,11.800000000000011,0.6,100.2,8,1,8,76,1
2023-08-15 11:19:00,11.300000000000011,0.9,100.8,7.6,1,6,10,1
2023-09-12 11:05:00,11.600000000000023,0.7,100,7.6,1,5,16,1
2023-10-17 12:24:00,12.899999999999977,0.9,102.9,8,4,4,129,81
2023-11-14 10:43:00,15.100000000000023,0.3,105.4,8,7,4,1553,27
2023-12-05 12:15:00,16.100000000000023,0.3,105.1,8.1,3,4,115,1
