#Bulk Export - Points as recorded,,,,,,,,
,WA7,WA7,WA7,WA7,WA7,WA7,WA7,WA7
,Manawatu at Weber Rd (NRWQN),Manawatu at Weber Rd (NRWQN),Manawatu at Weber Rd (NRWQN),Manawatu at Weber Rd (NRWQN),Manawatu at Weber Rd (NRWQN),Manawatu at Weber Rd (NRWQN),Manawatu at Weber Rd (NRWQN),Manawatu at Weber Rd (NRWQN)
,Water Temp.NRWQN,Turbidity (Form Neph).NRWQN,Dis Oxygen Sat.NRWQN,pH.25DegC.NRWQN,NO3+NO2 as N.NRWQN,P (Tot).NRWQN,Tot Coliforms.NRWQN,E Coli.NRWQN
Timestamp (UTC+12:00),Value (°C),Value (FNU),Value (%),Value (pH),Value (ppb),Value (ppb),Value (MPN/100ml),Value (MPN/100ml)
2019-01-09 12:15:00,23.399999999999977,1.8,144.2,8.8,18,10,1414,21
2019-02-12 12:15:00,21.100000000000023,0.98,104.70000000000002,8.2,2,12,1986,23
2019-03-06 12:15:00,19.19999999999999,1.2,111.7,8.2,78,16,1300,114
2019-04-02 12:15:00,17,1.3,100.8,8.1,1,19,,
2019-05-08 12:15:00,11.899999999999977,0.95,120.9,8.3,9,11,206,35
2019-06-05 12:15:00,9.5,2.7,102.49999999999999,8.2,389,21,488,74
2019-07-02 12:15:00,6.699999999999989,3.4,99.8,8.9,649,32,727,40
2019-08-06 12:15:00,7.100000000000023,9.9,100.7,8.4,478,46,980,138
2019-09-03 12:15:00,10.800000000000011,1.9,110.59999999999998,8.2,487,21,387,39
2019-10-02 12:20:00,10.800000000000011,5.5,107.80000000000001,8.3,350,28,1553,308
2019-11-05 12:10:00,18.69999999999999,1.5,117.10000000000001,8.4,481,26,2419,50
2019-12-04 12:15:00,18.100000000000023,1.3,113.6,8.3,46,18,1733,82
2020-01-14 12:15:00,18.19999999999999,1.2,109.5,8.3,6,21,1986,173
2020-02-11 12:20:00,20.19999999999999,0.7,114.79999999999998,8.5,3,15,1553,88
2020-03-03 12:15:00,21.30000000000001,0.53,124.39999999999999,8.4,2,13,1553,38
2020-05-06 12:15:00,11.199999999999989,11.4,100,8.2,199,38,2419,437
2020-06-03 12:15:00,10.800000000000011,28.2,95.3,8.1,917,92,2419,980
2020-07-07 12:15:00,9.100000000000023,7.2,98.2,7.9,904,35,1986,60
2020-08-12 12:15:00,9.300000000000011,2.9,104.4,8.2,742,24,365,25
2020-09-02 12:10:00,10.5,13.4,104.70000000000002,8.3,410,32,2419,111
2020-10-06 12:15:00,14.600000000000023,5,106.1,8.3,655,31,2419,488
2020-11-03 11:15:00,16,1.1,135.4,8.7,97,15,1986,122
2020-12-02 12:15:00,13.800000000000011,33.8,99.6,8,447,90,2419,2419
2021-01-12 12:15:00,20.600000000000023,1.5,117.20000000000002,8.4,131,23,2419,127
2021-02-02 12:15:00,20.100000000000023,1.5,109.3,8.4,5,23,613,79
2021-03-02 12:15:00,20.399999999999977,1.4,107.69999999999999,8.4,3,37,1203,59
2021-04-07 12:15:00,15.300000000000011,1.8,101.29999999999998,8.4,1,20,548,65
2021-05-04 12:15:00,8.600000000000023,0.74,101.9,8.3,4,10,649,36
2021-06-02 12:15:00,8.199999999999989,2.3,109.3,8.3,145,16,1120,80
2021-07-14 12:15:00,6.100000000000023,4.9,98.6,8.1,748,37,1414,68
2021-08-04 12:20:00,12.600000000000023,0.97,109.2,8.4,466,17,461,28
2021-09-15 12:20:00,9.5,75.5,96.6,8.1,510,193,2419,2419
2021-10-13 11:50:00,11.199999999999989,62.2,96.2,8,425,174,2419,2419
2021-11-11 12:20:00,20.5,4.6,109.59999999999998,8.3,309,35,2419,153
2021-12-15 12:43:00,17.600000000000023,89.9,93.2,7.9,660,371,24192,5172
2022-01-26 12:15:00,21.899999999999977,0.87,108.2,8.3,13,18,1203,86
2022-02-16 11:55:00,17.30000000000001,19.6,96.1,7.9,670,66,2419,579
2022-03-15 12:15:00,17.30000000000001,0.83,104,8.3,17,13,1300,71
2022-04-20 12:20:00,16,1.2,107.69999999999999,8.3,577,18,980,66
2022-05-10 12:15:00,12.699999999999989,21,100.09999999999998,8.2,221,30,2419,1046
2022-06-15 12:00:00,9.800000000000011,183,96.6,8,825,208,5794,657
2022-07-20 12:15:00,9.300000000000011,11.9,97.5,8,1160,47,2419,79
2022-08-10 12:00:00,9.100000000000023,307,96.7,8.2,707,529,19863,3822
2022-09-14 12:35:00,10,118,95.9,7.9,563,224,2419,2419
2022-10-12 13:00:00,13.199999999999989,5,96.8,8,986,43,1986,127
2022-11-08 13:15:00,17.69999999999999,1.9,121.6,8.6,261,13,1733,78
2022-12-08 11:15:00,16.5,1.5,105.8,8.7,354,23,866,102
2023-01-18 12:15:00,18.899999999999977,19.4,96,8,737,53,2419,488
2023-03-15 12:30:00,16.399999999999977,3.5,107.1,8.3,429,21,2419,82
2023-05-10 12:15:00,14,24.2,96.6,8.6,528,210,2419,2419
2023-07-19 11:40:00,9.800000000000011,60.4,97,7.8,874,142,2419,140
2023-08-17 12:40:00,9,11.5,97.5,8.1,713,37,1733,84
2023-09-13 11:30:00,11.399999999999977,0.8,115.4,8.5,197,11,185,43
2023-10-25 11:35:00,15,6.2,99.9,8.2,460,34,2419,130
2023-11-22 12:00:00,16.399999999999977,54.5,98.7,8.1,367,90,2419,1553
2023-12-13 12:25:00,15.100000000000023,5.3,113.9,8.5,131,19,1733,649
