#Bulk Export - Points as recorded,,,,,,,,
,WN5,WN5,WN5,WN5,WN5,WN5,WN5,WN5
,Ruamahanga at SH2 (NRWQN),Ruamahanga at SH2 (NRWQN),Ruamahanga at SH2 (NRWQN),Ruamahanga at SH2 (NRWQN),Ruamahanga at SH2 (NRWQN),Ruamahanga at SH2 (NRWQN),Ruamahanga at SH2 (NRWQN),Ruamahanga at SH2 (NRWQN)
,Water Temp.NRWQN,Turbidity (Form Neph).NRWQN,Dis Oxygen Sat.NRWQN,pH.25DegC.NRWQN,NO3+NO2 as N.NRWQN,P (Tot).NRWQN,Tot Coliforms.NRWQN,E Coli.NRWQN
Timestamp (UTC+12:00),Value (°C),Value (FNU),Value (%),Value (pH),Value (ppb),Value (ppb),Value (MPN/100ml),Value (MPN/100ml)
2019-01-15 13:30:00,13.600000000000023,1.1,101.1,7.6,7,3,304,26
2019-02-04 13:35:00,20.5,0.33,105.2,7.8,10,3,2419,10
2019-03-13 12:42:00,14.5,4,100.50000000000001,7.6,20,13,1986,727
2019-04-16 11:45:00,10.899999999999977,0.43,103.2,7.8,7,1,548,15
2019-05-14 14:15:00,9.600000000000023,0.63,100.39999999999999,7.4,30,3,125,17
2019-06-11 14:40:00,8.800000000000011,1.2,100.2,7.5,42,2,210,16
2019-07-09 14:00:00,7.399999999999977,0.53,102.49999999999999,7.8,44,4,134,7
2019-08-13 13:20:00,7.600000000000023,3.3,101.1,7.3,80,7,249,6
2019-09-09 13:40:00,6.899999999999977,1,100.9,7.6,33,4,142,2
2019-10-08 13:55:00,11,0.69,100.8,7.7,53,4,166,1
2019-11-12 13:00:00,10.800000000000011,1.2,100.50000000000001,7.9,14,4,228,77
2019-12-10 13:50:00,14.800000000000011,0.54,102.2,7.9,10,4,197,19
2020-01-14 13:00:00,12.5,1.1,100.6,7.5,8,5,866,35
2020-02-03 11:00:00,19.19999999999999,0.29,102.2,7.7,6,3,1553,55
2020-03-16 13:55:00,17,0.25,107.4,7.9,23,3,816,3
2020-05-12 13:55:00,10,0.38,102.70000000000002,7.9,44,4,236,33
2020-06-09 11:30:00,8,0.42,101.8,7.6,85,5,172,20
2020-07-14 11:45:00,7.100000000000023,1.8,100.6,7.4,58,5,43,1
2020-08-19 13:10:00,6.699999999999989,1.9,102.4,7.7,34,3,122,7
2020-09-15 13:05:00,8.899999999999977,10.3,101.2,7.1,24,17,118,4
2020-10-28 12:25:00,9.199999999999989,2.8,99.9,7.3,20,5,199,7
2020-11-18 12:15:00,12.800000000000011,3.6,101,7.5,17,8,1203,131
2020-12-16 12:50:00,15.800000000000011,0.73,102.1,7.7,32,5,64,4
2021-01-20 13:15:00,11.199999999999989,20.9,100.39999999999999,7.4,14,19,488,261
2021-02-16 12:15:00,12.699999999999989,8.1,100,7.4,35,12,2419,613
2021-03-18 12:25:00,12.899999999999977,0.79,101.9,7.6,21,6,579,38
2021-04-14 13:15:00,11.699999999999989,1.6,101.4,7.7,15,5,261,28
2021-05-12 12:35:00,10.899999999999977,25.9,100.2,7.2,30,73,361,23
2021-06-17 11:00:00,9.100000000000023,46,101,7.1,40,9,411,83
2021-07-14 13:40:00,5.800000000000011,0.57,100.7,7.6,73,4,83,10
2021-09-08 13:54:00,6.600000000000023,50.2,100.7,7.7,19,56,365,5
2021-10-20 13:55:00,9.399999999999977,1.5,100.39999999999999,7.5,22,4,148,1
2021-11-17 12:06:00,11.600000000000023,11,101.29999999999998,7.4,16,18,144,33
2021-12-15 11:58:00,13.100000000000023,18.6,101.2,7.2,21,25,727,93
2022-01-19 11:04:00,19.899999999999977,0.26,101.8,7.8,4,4,488,11
2022-02-16 13:25:00,15.300000000000011,0.85,100.7,7.6,64,4,291,20
2022-03-16 13:10:00,14.300000000000011,0.28,102.6,7.8,6,3,248,17
2022-04-20 14:30:00,14.600000000000023,0.3,103.4,8,17,4,150,15
2022-05-18 13:45:00,11.399999999999977,1.4,100.8,7.6,23,5,161,2
2022-06-22 12:40:00,7.399999999999977,0.6,100.29999999999998,7.7,58,6,88,4
2022-07-20 12:50:00,9,1.2,100.39999999999999,7.5,43,5,63,2
2022-08-17 13:15:00,10.199999999999989,0.8,100.9,7.5,46,6,86,1
2022-09-21 14:10:00,10.300000000000011,0.6,101.2,7.7,29,4,63,3
2022-10-18 13:15:00,12.300000000000011,0.5,102.1,7.5,22,4,88,3
2022-11-15 13:15:00,15.699999999999989,0.3,102.29999999999998,7.6,5,2,194,4
2022-12-14 13:30:00,18.899999999999977,0.2,102.1,7.8,8,3,172,3
2023-01-18 13:15:00,17.100000000000023,0.4,102.6,7.7,21,4,326,26
2023-02-15 11:30:00,13.699999999999989,2.4,100.2,7.4,33,7,649,78
2023-03-15 13:00:00,12.800000000000011,0.7,100.39999999999999,7.7,33,7,248,31
2023-05-25 13:20:00,8.600000000000023,0.3,101.50000000000001,7.8,35,25,81,6
2023-07-19 13:40:00,8.600000000000023,0.4,100.6,7.7,45,6,96,1
2023-08-16 13:40:00,6.699999999999989,1.3,100.29999999999998,7.4,25,4,116,1
2023-09-13 14:15:00,9.399999999999977,0.5,100.6,7.8,31,4,345,1
2023-10-24 11:55:00,11.300000000000011,0.4,101.1,7.9,33,4,285,7
2023-11-22 12:25:00,11.899999999999977,0.9,101,7.8,21,5,205,14
2023-12-13 13:05:00,11.5,0.6,100.9,7.7,7,3,154,4
